[2026-08-15 19:34:52.12260] [1] [info] Listening at "http://*:8080"
[2026-08-15 19:34:52.12270] [1] [info] Manager 1 started
Web application available at http://127.0.0.1:8080
[2026-08-15 19:34:52.12522] [7] [info] Worker 7 started
[2026-08-15 19:34:52.12659] [8] [info] Worker 8 started
[2026-08-15 19:34:52.12765] [9] [info] Worker 9 started
[2026-08-15 19:34:52.12864] [10] [info] Worker 10 started
[2026-08-15 19:34:52.12948] [11] [info] Worker 11 started
[2026-08-15 19:34:52.13044] [12] [info] Worker 12 started
[2026-08-15 19:34:52.13145] [13] [info] Worker 13 started
[2026-08-15 19:34:52.13251] [14] [info] Worker 14 started
[2026-08-15 19:34:52.13362] [15] [info] Worker 15 started
[2026-08-15 19:34:52.13478] [16] [info] Worker 16 started
[2026-08-15 19:34:52.13578] [17] [info] Worker 17 started
[2026-08-15 19:34:52.13649] [18] [info] Worker 18 started
[2026-08-15 19:34:52.13751] [19] [info] Worker 19 started
[2026-08-15 19:34:52.13876] [20] [info] Worker 20 started
[2026-08-15 19:34:52.13960] [21] [info] Worker 21 started
[2026-08-15 19:34:52.14100] [22] [info] Worker 22 started
[2026-08-15 19:34:52.14199] [23] [info] Worker 23 started
[2026-08-15 19:34:52.14301] [24] [info] Worker 24 started
[2026-08-15 19:34:52.14373] [25] [info] Worker 25 started
[2026-08-15 19:34:52.14480] [26] [info] Worker 26 started
[2026-08-15 19:34:52.14599] [27] [info] Worker 27 started
[2026-08-15 19:34:52.14702] [28] [info] Worker 28 started
[2026-08-15 19:34:52.14784] [29] [info] Worker 29 started
[2026-08-15 19:34:52.14876] [30] [info] Worker 30 started
[2026-08-15 19:34:52.14980] [31] [info] Worker 31 started
[2026-08-15 19:34:52.15103] [32] [info] Worker 32 started
[2026-08-15 19:34:52.15207] [33] [info] Worker 33 started
[2026-08-15 19:34:52.15308] [34] [info] Worker 34 started
[2026-08-15 19:34:52.15383] [35] [info] Worker 35 started
[2026-08-15 19:34:52.15492] [36] [info] Worker 36 started
[2026-08-15 19:34:52.15609] [37] [info] Worker 37 started
[2026-08-15 19:34:52.15687] [38] [info] Worker 38 started
[2026-08-15 19:34:52.15799] [39] [info] Worker 39 started
[2026-08-15 19:34:52.15893] [40] [info] Worker 40 started
[2026-08-15 19:34:52.15998] [41] [info] Worker 41 started
[2026-08-15 19:34:52.16098] [42] [info] Worker 42 started
[2026-08-15 19:34:52.16195] [43] [info] Worker 43 started
[2026-08-15 19:34:52.16321] [44] [info] Worker 44 started
[2026-08-15 19:34:52.16408] [45] [info] Worker 45 started
[2026-08-15 19:34:52.16513] [46] [info] Worker 46 started
[2026-08-15 19:34:52.16635] [47] [info] Worker 47 started
[2026-08-15 19:34:52.16714] [48] [info] Worker 48 started
[2026-08-15 19:34:52.16833] [49] [info] Worker 49 started
[2026-08-15 19:34:52.16944] [50] [info] Worker 50 started
[2026-08-15 19:34:52.17032] [51] [info] Worker 51 started
[2026-08-15 19:34:52.17130] [52] [info] Worker 52 started
[2026-08-15 19:34:52.17243] [53] [info] Worker 53 started
[2026-08-15 19:34:52.17326] [54] [info] Worker 54 started
[2026-08-15 19:34:52.17431] [55] [info] Worker 55 started
[2026-08-15 19:34:52.17533] [56] [info] Worker 56 started
[2026-08-15 19:34:52.17644] [57] [info] Worker 57 started
[2026-08-15 19:34:52.17737] [58] [info] Worker 58 started
[2026-08-15 19:34:52.17840] [59] [info] Worker 59 started
[2026-08-15 19:34:52.17952] [60] [info] Worker 60 started
[2026-08-15 19:34:52.18081] [61] [info] Worker 61 started
[2026-08-15 19:34:52.18154] [62] [info] Worker 62 started
[2026-08-15 19:34:52.18288] [63] [info] Worker 63 started
[2026-08-15 19:34:52.18385] [64] [info] Worker 64 started
[2026-08-15 19:34:52.18466] [65] [info] Worker 65 started
[2026-08-15 19:34:52.18580] [66] [info] Worker 66 started
[2026-08-15 19:34:52.18705] [67] [info] Worker 67 started
[2026-08-15 19:34:52.18782] [68] [info] Worker 68 started
[2026-08-15 19:34:52.18900] [69] [info] Worker 69 started
[2026-08-15 19:34:52.19009] [70] [info] Worker 70 started
[2026-08-15 19:34:52.19512] [1] [info] Creating process id file "/tmp/prefork.pid"
