[2026-08-15 19:35:39.26312] [1] [info] Listening at "http://*:8080"
[2026-08-15 19:35:39.26322] [1] [info] Manager 1 started
Web application available at http://127.0.0.1:8080
[2026-08-15 19:35:39.26597] [7] [info] Worker 7 started
[2026-08-15 19:35:39.26698] [8] [info] Worker 8 started
[2026-08-15 19:35:39.26780] [9] [info] Worker 9 started
[2026-08-15 19:35:39.26896] [10] [info] Worker 10 started
[2026-08-15 19:35:39.27000] [11] [info] Worker 11 started
[2026-08-15 19:35:39.27073] [12] [info] Worker 12 started
[2026-08-15 19:35:39.27180] [13] [info] Worker 13 started
[2026-08-15 19:35:39.27277] [14] [info] Worker 14 started
[2026-08-15 19:35:39.27387] [15] [info] Worker 15 started
[2026-08-15 19:35:39.27491] [16] [info] Worker 16 started
[2026-08-15 19:35:39.27592] [17] [info] Worker 17 started
[2026-08-15 19:35:39.27689] [18] [info] Worker 18 started
[2026-08-15 19:35:39.27760] [19] [info] Worker 19 started
[2026-08-15 19:35:39.27864] [20] [info] Worker 20 started
[2026-08-15 19:35:39.27990] [21] [info] Worker 21 started
[2026-08-15 19:35:39.28064] [22] [info] Worker 22 started
[2026-08-15 19:35:39.28185] [23] [info] Worker 23 started
[2026-08-15 19:35:39.28286] [24] [info] Worker 24 started
[2026-08-15 19:35:39.28389] [25] [info] Worker 25 started
[2026-08-15 19:35:39.28467] [26] [info] Worker 26 started
[2026-08-15 19:35:39.28587] [27] [info] Worker 27 started
[2026-08-15 19:35:39.28671] [28] [info] Worker 28 started
[2026-08-15 19:35:39.28790] [29] [info] Worker 29 started
[2026-08-15 19:35:39.28889] [30] [info] Worker 30 started
[2026-08-15 19:35:39.28973] [31] [info] Worker 31 started
[2026-08-15 19:35:39.29090] [32] [info] Worker 32 started
[2026-08-15 19:35:39.29192] [33] [info] Worker 33 started
[2026-08-15 19:35:39.29275] [34] [info] Worker 34 started
[2026-08-15 19:35:39.29399] [35] [info] Worker 35 started
[2026-08-15 19:35:39.29499] [36] [info] Worker 36 started
[2026-08-15 19:35:39.29600] [37] [info] Worker 37 started
[2026-08-15 19:35:39.29707] [38] [info] Worker 38 started
[2026-08-15 19:35:39.29783] [39] [info] Worker 39 started
[2026-08-15 19:35:39.29888] [40] [info] Worker 40 started
[2026-08-15 19:35:39.30006] [41] [info] Worker 41 started
[2026-08-15 19:35:39.30147] [42] [info] Worker 42 started
[2026-08-15 19:35:39.30225] [43] [info] Worker 43 started
[2026-08-15 19:35:39.30360] [44] [info] Worker 44 started
[2026-08-15 19:35:39.30454] [45] [info] Worker 45 started
[2026-08-15 19:35:39.30527] [46] [info] Worker 46 started
[2026-08-15 19:35:39.30653] [47] [info] Worker 47 started
[2026-08-15 19:35:39.30756] [48] [info] Worker 48 started
[2026-08-15 19:35:39.30871] [49] [info] Worker 49 started
[2026-08-15 19:35:39.30936] [50] [info] Worker 50 started
[2026-08-15 19:35:39.31070] [51] [info] Worker 51 started
[2026-08-15 19:35:39.31165] [52] [info] Worker 52 started
[2026-08-15 19:35:39.31235] [53] [info] Worker 53 started
[2026-08-15 19:35:39.31338] [54] [info] Worker 54 started
[2026-08-15 19:35:39.31468] [55] [info] Worker 55 started
[2026-08-15 19:35:39.31539] [56] [info] Worker 56 started
[2026-08-15 19:35:39.31668] [57] [info] Worker 57 started
[2026-08-15 19:35:39.31754] [58] [info] Worker 58 started
[2026-08-15 19:35:39.31845] [59] [info] Worker 59 started
[2026-08-15 19:35:39.31946] [60] [info] Worker 60 started
[2026-08-15 19:35:39.32045] [61] [info] Worker 61 started
[2026-08-15 19:35:39.32151] [62] [info] Worker 62 started
[2026-08-15 19:35:39.32253] [63] [info] Worker 63 started
[2026-08-15 19:35:39.32385] [64] [info] Worker 64 started
[2026-08-15 19:35:39.32488] [65] [info] Worker 65 started
[2026-08-15 19:35:39.32561] [66] [info] Worker 66 started
[2026-08-15 19:35:39.32695] [67] [info] Worker 67 started
[2026-08-15 19:35:39.32782] [68] [info] Worker 68 started
[2026-08-15 19:35:39.32862] [69] [info] Worker 69 started
[2026-08-15 19:35:39.32988] [70] [info] Worker 70 started
[2026-08-15 19:35:39.33553] [1] [info] Creating process id file "/tmp/prefork.pid"
