[2026-08-15 19:33:16.80967] [1] [info] Listening at "http://*:8080"
[2026-08-15 19:33:16.80977] [1] [info] Manager 1 started
Web application available at http://127.0.0.1:8080
[2026-08-15 19:33:16.81239] [7] [info] Worker 7 started
[2026-08-15 19:33:16.81376] [8] [info] Worker 8 started
[2026-08-15 19:33:16.81490] [9] [info] Worker 9 started
[2026-08-15 19:33:16.81630] [10] [info] Worker 10 started
[2026-08-15 19:33:16.81695] [11] [info] Worker 11 started
[2026-08-15 19:33:16.81783] [12] [info] Worker 12 started
[2026-08-15 19:33:16.81889] [13] [info] Worker 13 started
[2026-08-15 19:33:16.82000] [14] [info] Worker 14 started
[2026-08-15 19:33:16.82080] [15] [info] Worker 15 started
[2026-08-15 19:33:16.82180] [16] [info] Worker 16 started
[2026-08-15 19:33:16.82280] [17] [info] Worker 17 started
[2026-08-15 19:33:16.82413] [18] [info] Worker 18 started
[2026-08-15 19:33:16.82518] [19] [info] Worker 19 started
[2026-08-15 19:33:16.82585] [20] [info] Worker 20 started
[2026-08-15 19:33:16.82680] [21] [info] Worker 21 started
[2026-08-15 19:33:16.82785] [22] [info] Worker 22 started
[2026-08-15 19:33:16.82919] [23] [info] Worker 23 started
[2026-08-15 19:33:16.82988] [24] [info] Worker 24 started
[2026-08-15 19:33:16.83121] [25] [info] Worker 25 started
[2026-08-15 19:33:16.83188] [26] [info] Worker 26 started
[2026-08-15 19:33:16.83287] [27] [info] Worker 27 started
[2026-08-15 19:33:16.83389] [28] [info] Worker 28 started
[2026-08-15 19:33:16.83488] [29] [info] Worker 29 started
[2026-08-15 19:33:16.83590] [30] [info] Worker 30 started
[2026-08-15 19:33:16.83692] [31] [info] Worker 31 started
[2026-08-15 19:33:16.83828] [32] [info] Worker 32 started
[2026-08-15 19:33:16.83926] [33] [info] Worker 33 started
[2026-08-15 19:33:16.83993] [34] [info] Worker 34 started
[2026-08-15 19:33:16.84095] [35] [info] Worker 35 started
[2026-08-15 19:33:16.84190] [36] [info] Worker 36 started
[2026-08-15 19:33:16.84295] [37] [info] Worker 37 started
[2026-08-15 19:33:16.84395] [38] [info] Worker 38 started
[2026-08-15 19:33:16.84496] [39] [info] Worker 39 started
[2026-08-15 19:33:16.84592] [40] [info] Worker 40 started
[2026-08-15 19:33:16.84693] [41] [info] Worker 41 started
[2026-08-15 19:33:16.84791] [42] [info] Worker 42 started
[2026-08-15 19:33:16.84929] [43] [info] Worker 43 started
[2026-08-15 19:33:16.84991] [44] [info] Worker 44 started
[2026-08-15 19:33:16.85130] [45] [info] Worker 45 started
[2026-08-15 19:33:16.85195] [46] [info] Worker 46 started
[2026-08-15 19:33:16.85295] [47] [info] Worker 47 started
[2026-08-15 19:33:16.85396] [48] [info] Worker 48 started
[2026-08-15 19:33:16.85495] [49] [info] Worker 49 started
[2026-08-15 19:33:16.85606] [50] [info] Worker 50 started
[2026-08-15 19:33:16.85702] [51] [info] Worker 51 started
[2026-08-15 19:33:16.85815] [52] [info] Worker 52 started
[2026-08-15 19:33:16.85904] [53] [info] Worker 53 started
[2026-08-15 19:33:16.86031] [54] [info] Worker 54 started
[2026-08-15 19:33:16.86107] [55] [info] Worker 55 started
[2026-08-15 19:33:16.86231] [56] [info] Worker 56 started
[2026-08-15 19:33:16.86342] [57] [info] Worker 57 started
[2026-08-15 19:33:16.86442] [58] [info] Worker 58 started
[2026-08-15 19:33:16.86551] [59] [info] Worker 59 started
[2026-08-15 19:33:16.86656] [60] [info] Worker 60 started
[2026-08-15 19:33:16.86750] [61] [info] Worker 61 started
[2026-08-15 19:33:16.86849] [62] [info] Worker 62 started
[2026-08-15 19:33:16.86951] [63] [info] Worker 63 started
[2026-08-15 19:33:16.87050] [64] [info] Worker 64 started
[2026-08-15 19:33:16.87151] [65] [info] Worker 65 started
[2026-08-15 19:33:16.87249] [66] [info] Worker 66 started
[2026-08-15 19:33:16.87357] [67] [info] Worker 67 started
[2026-08-15 19:33:16.87452] [68] [info] Worker 68 started
[2026-08-15 19:33:16.87553] [69] [info] Worker 69 started
[2026-08-15 19:33:16.87653] [70] [info] Worker 70 started
[2026-08-15 19:33:16.88243] [1] [info] Creating process id file "/tmp/prefork.pid"
