[2026-08-15 19:32:06.08439] [1] [info] Listening at "http://*:8080"
[2026-08-15 19:32:06.08449] [1] [info] Manager 1 started
Web application available at http://127.0.0.1:8080
[2026-08-15 19:32:06.08708] [7] [info] Worker 7 started
[2026-08-15 19:32:06.08803] [8] [info] Worker 8 started
[2026-08-15 19:32:06.08924] [9] [info] Worker 9 started
[2026-08-15 19:32:06.09017] [10] [info] Worker 10 started
[2026-08-15 19:32:06.09118] [11] [info] Worker 11 started
[2026-08-15 19:32:06.09196] [12] [info] Worker 12 started
[2026-08-15 19:32:06.09302] [13] [info] Worker 13 started
[2026-08-15 19:32:06.09418] [14] [info] Worker 14 started
[2026-08-15 19:32:06.09492] [15] [info] Worker 15 started
[2026-08-15 19:32:06.09600] [16] [info] Worker 16 started
[2026-08-15 19:32:06.09689] [17] [info] Worker 17 started
[2026-08-15 19:32:06.09808] [18] [info] Worker 18 started
[2026-08-15 19:32:06.09896] [19] [info] Worker 19 started
[2026-08-15 19:32:06.09979] [20] [info] Worker 20 started
[2026-08-15 19:32:06.10099] [21] [info] Worker 21 started
[2026-08-15 19:32:06.10205] [22] [info] Worker 22 started
[2026-08-15 19:32:06.10297] [23] [info] Worker 23 started
[2026-08-15 19:32:06.10395] [24] [info] Worker 24 started
[2026-08-15 19:32:06.10491] [25] [info] Worker 25 started
[2026-08-15 19:32:06.10595] [26] [info] Worker 26 started
[2026-08-15 19:32:06.10695] [27] [info] Worker 27 started
[2026-08-15 19:32:06.10762] [28] [info] Worker 28 started
[2026-08-15 19:32:06.10884] [29] [info] Worker 29 started
[2026-08-15 19:32:06.10997] [30] [info] Worker 30 started
[2026-08-15 19:32:06.11061] [31] [info] Worker 31 started
[2026-08-15 19:32:06.11186] [32] [info] Worker 32 started
[2026-08-15 19:32:06.11287] [33] [info] Worker 33 started
[2026-08-15 19:32:06.11398] [34] [info] Worker 34 started
[2026-08-15 19:32:06.11460] [35] [info] Worker 35 started
[2026-08-15 19:32:06.11583] [36] [info] Worker 36 started
[2026-08-15 19:32:06.11653] [37] [info] Worker 37 started
[2026-08-15 19:32:06.11792] [38] [info] Worker 38 started
[2026-08-15 19:32:06.11899] [39] [info] Worker 39 started
[2026-08-15 19:32:06.11959] [40] [info] Worker 40 started
[2026-08-15 19:32:06.12085] [41] [info] Worker 41 started
[2026-08-15 19:32:06.12155] [42] [info] Worker 42 started
[2026-08-15 19:32:06.12251] [43] [info] Worker 43 started
[2026-08-15 19:32:06.12380] [44] [info] Worker 44 started
[2026-08-15 19:32:06.12480] [45] [info] Worker 45 started
[2026-08-15 19:32:06.12559] [46] [info] Worker 46 started
[2026-08-15 19:32:06.12662] [47] [info] Worker 47 started
[2026-08-15 19:32:06.12757] [48] [info] Worker 48 started
[2026-08-15 19:32:06.12893] [49] [info] Worker 49 started
[2026-08-15 19:32:06.12988] [50] [info] Worker 50 started
[2026-08-15 19:32:06.13055] [51] [info] Worker 51 started
[2026-08-15 19:32:06.13149] [52] [info] Worker 52 started
[2026-08-15 19:32:06.13294] [53] [info] Worker 53 started
[2026-08-15 19:32:06.13382] [54] [info] Worker 54 started
[2026-08-15 19:32:06.13475] [55] [info] Worker 55 started
[2026-08-15 19:32:06.13581] [56] [info] Worker 56 started
[2026-08-15 19:32:06.13650] [57] [info] Worker 57 started
[2026-08-15 19:32:06.13745] [58] [info] Worker 58 started
[2026-08-15 19:32:06.13842] [59] [info] Worker 59 started
[2026-08-15 19:32:06.13962] [60] [info] Worker 60 started
[2026-08-15 19:32:06.14095] [61] [info] Worker 61 started
[2026-08-15 19:32:06.14163] [62] [info] Worker 62 started
[2026-08-15 19:32:06.14257] [63] [info] Worker 63 started
[2026-08-15 19:32:06.14389] [64] [info] Worker 64 started
[2026-08-15 19:32:06.14457] [65] [info] Worker 65 started
[2026-08-15 19:32:06.14589] [66] [info] Worker 66 started
[2026-08-15 19:32:06.14650] [67] [info] Worker 67 started
[2026-08-15 19:32:06.14744] [68] [info] Worker 68 started
[2026-08-15 19:32:06.14852] [69] [info] Worker 69 started
[2026-08-15 19:32:06.14974] [70] [info] Worker 70 started
[2026-08-15 19:32:06.15272] [1] [info] Creating process id file "/tmp/prefork.pid"
