ioxd_certs: /tmp/libioxd-certs/default/key.pem: mode 644, readable past its owner
ioxd_certs: 1 host from /tmp/libioxd-certs
[w27] listening on :8080 :8081/tls (cpu 27, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w32] listening on :8080 :8081/tls (cpu 32, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w38] listening on :8080 :8081/tls (cpu 38, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w52] listening on :8080 :8081/tls (cpu 52, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w51] listening on :8080 :8081/tls (cpu 51, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w50] listening on :8080 :8081/tls (cpu 50, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w48] listening on :8080 :8081/tls (cpu 48, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w31] listening on :8080 :8081/tls (cpu 31, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w35] listening on :8080 :8081/tls (cpu 35, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w63] listening on :8080 :8081/tls (cpu 63, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w58] listening on :8080 :8081/tls (cpu 58, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w26] listening on :8080 :8081/tls (cpu 26, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w33] listening on :8080 :8081/tls (cpu 33, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
[w28] listening on :8080 :8081/tls (cpu 28, 512 x 16384 B recv buffers, ring 8192, no sqarray, registered ring, fixed files)
